zip_code,mean_pm25,sensor_count,std_pm25,median_income_usd,income_quintile
01022,7.269596875,320,6.974732960135031,52207,1
01730,10.411352976190477,168,9.843136759737177,143424,5
01773,7.686393742690058,171,6.904637318557214,185288,5
01832,7.669137539432176,317,4.596332416756523,78151,3
01905,6.889405405405405,185,4.062861378304513,74792,3
02119,7.5071562499999995,320,4.805320559633721,37158,1
02125,8.1205,320,5.105031545900523,64983,2
02144,10.788338181818181,165,8.768880387403756,133627,5
02169,0.6445,2,0.6866006845321375,86335,4
02302,7.466500000000001,320,5.247425844519423,80702,3
02360,11.530657894736843,152,8.970538846326189,107067,5
02903,5.4399999999999995,2,0.26870057685088766,57850,2
06238,10.61151461988304,171,8.488431973509748,101916,4
06702,9.469817427385893,241,9.83005797879791,14852,1
07940,18.099117647058822,34,11.985262254914286,163643,5
10031,7.850343848580442,317,7.435790804249311,64807,2
10970,7.1572523659306,317,9.627342584201429,101974,5
11225,18.863191489361704,47,9.828773444283698,82716,4
12550,8.09382334384858,317,9.050080672433513,73148,3
14150,8.92491277258567,321,7.645490615707247,68026,3
18045,19.63058823529412,17,11.164232771774017,104285,5
19605,10.572298136645964,322,16.28742097231877,81222,3
20740,15.324839285714285,168,8.584393378021945,79446,3
21042,11.125365671641791,134,7.57936716617654,178207,5
22901,9.129127725856698,321,8.516527343158133,88911,4
33030,8.481271929824562,228,4.437843530732182,37740,1
33136,8.3298125,320,4.135229024732559,35129,1
35207,11.541847826086956,184,5.693313003895284,27939,1
37174,15.113859649122805,171,7.543192354556046,96200,4
37206,10.10468085106383,188,6.24342121386576,80915,3
39202,10.81225806451613,310,4.568435541723553,36359,1
46037,8.963590163934427,305,9.547292533297083,132272,5
46201,14.579905362776024,317,13.425146711731745,38848,1
46218,12.866867219917012,241,14.116033844496224,32772,1
46323,11.26583850931677,322,10.853884416517005,57683,2
46368,10.10625806451613,310,8.759079516621291,71188,3
46402,10.06117088607595,316,8.749207286862221,26101,1
46517,10.100716129032259,310,9.85514752311339,52519,1
46714,16.13788079470199,151,10.288010537142839,66588,3
46725,11.199127725856698,321,12.412981304334595,73891,3
46819,10.603993975903615,166,7.812985484937385,59275,2
46901,9.296464968152867,314,10.555508286920833,59629,2
47203,8.908694267515923,314,9.365817865835604,70595,3
47546,9.442176470588235,170,6.169873117674342,64411,2
47620,12.243347826086957,161,8.018586908131685,72646,3
47804,11.241295681063123,301,11.173877929451406,39129,1
47905,9.970286624203823,314,10.70876468747173,63072,2
48118,12.656508875739643,169,7.599321570689203,89125,4
49085,14.345993788819875,161,9.962413560789933,96034,4
53711,13.762532467532466,154,9.315698154555145,98161,4
53716,14.411666666666667,126,7.403529293519409,86538,4
54541,8.412965732087228,321,10.087125836713701,54539,1
55060,15.964291139240508,158,11.874738893437172,80313,3
55122,10.888877551020407,49,8.332097404097034,90306,4
57401,7.75423417721519,316,8.466741706954837,67348,3
59317,11.1178125,320,12.821925587216088,62500,2
59538,9.248571428571429,322,14.264432331099856,65670,2
59602,10.239668049792531,241,8.302188710776806,89464,4
59701,7.63984375,320,6.460535730036871,55818,2
59840,6.594968944099379,322,5.411187226043304,62576,2
59868,10.954472049689441,322,8.21094151871921,44881,1
59873,8.62695652173913,322,7.487430217980782,46467,1
